"She tipped her cap and studied the field, then hoisted the bat again for another powerful swing.",13,59:62
"In the locker, his polished wooden bat leaned against the wall beside the helmet.",8,35:38
"The crack of the bat rang through the stands as the ball sailed away, a moment that embodies baseball.",5,17:20
The equipment manager checked the bat's grain for cracks before handing it to the cleanup hitter.,6,34:37
"The baseball rookie nervously tapped his bat against home plate, waiting for the pitch.",7,41:44
The equipment manager checked the bat's grain for cracks before handing it to the cleanup hitter.,6,34:37
"She stepped up to the plate, lifted her baseball bat, and sent the ball screaming over the fence.",11,49:52
"As the player stepped up to the plate, he gripped his trusty bat tightly, ready to face the pitcher in the championship game.",15,61:64
"The crack of the bat echoed through the stadium as the home run soared over the outfield fence, thrilling the crowd.",5,17:20
"The young athlete spent hours practicing her swing with a baseball bat, determined to become a star player on her school team.",12,67:70
The rookie's baseball bat felt heavy in his sweaty palms as he approached the plate for his first professional at-bat.,6,22:25
"She carefully applied pine tar to the handle of her bat, a pre-game ritual she'd maintained since Little League.",11,52:55
"The crowd fell silent as he pointed his bat toward the center field fence, calling his shot before the pitcher's delivery.",9,40:43
"After drilling a line drive up the middle, she placed the scuffed wooden bat carefully back in the equipment bag.",17,73:76
"He stepped up to the plate, adjusted his helmet, and gripped the heavy baseball bat with determined hands.",17,80:83
"The satisfying thud echoed as the ball connected solidly with the ash bat, sending it soaring deep into the outfield.",14,70:73
A baseball bat is a smooth wooden or metal club used in the sport of baseball to hit the ball after it is thrown by the pitcher.,3,11:14
A fungo bat is a specially designed bat used by baseball and softball coaches in practice.,4,8:11
"It also lets them swing the bat one-handed, as they often throw the ""pitches"" to themselves with their free hand.",7,28:31
Rule 1.10 now only requires that the bat be removed from the game if discovered after being used in a game; it no longer necessitates any change to the results of any play which may have taken place.,10,37:40
The bat is not permitted to be more than 2 inches (67 mm) in diameter in proximity to width and length.,2,4:7
"The bat shall be a smooth, round stick not more than 2.61 inches in diameter at the thickest part and not more than 42 inches in length.",2,4:7
"Based on consistent anecdotal reports of sales at sporting goods stores, and because of the Emerald ash borer epidemic, maple appears to be displacing ash as most popular new baseball bat material in the United States.",40,184:187
Manufacturers position each bat's label over the mechanically weaker side of the wood.,4,28:31
"These days, maple is the bat material of choice for most pros, and it has been ever since San Francisco Giants left fielder Barry Bonds broke the record for the number of home runs hit in a season.",7,25:28
She carefully applied pine tar to the handle of her bat before stepping up to the plate to face the pitcher.,11,52:55
"Made from polished maple, the new baseball bat felt light and powerful in her hands as she walked toward the on-deck circle.",9,43:46
